Loan_ID,"Customer ID",ApplicantIncome,CoapplicantIncome,Property_Area,Loan_Status,Customer_Criteria,Interest_Rate
LP001002,IP43001,5849,0,Urban,Y,Middle_Class_Customer,7.0
LP001003,IP43002,4583,1508,Rural,N,Low_Class_Customer,3.0
LP001005,IP43003,3000,0,Urban,Y,Low_Class_Customer,5.0
LP001006,IP43004,2583,2358,Urban,Y,Low_Class_Customer,5.0
LP001008,IP43005,6000,0,Urban,Y,Middle_Class_Customer,7.0
LP001011,IP43006,5417,4196,Urban,Y,Middle_Class_Customer,7.0
LP001013,IP43007,2333,1516,Urban,Y,Low_Class_Customer,5.0
LP001014,IP43008,3036,2504,Semiurban,N,Low_Class_Customer,2.5
LP001018,IP43009,4006,1526,Urban,Y,Low_Class_Customer,5.0
LP001020,IP43010,12841,10968,Semiurban,N,B_Grade_Customer,7.0
LP001024,IP43011,3200,700,Urban,Y,Low_Class_Customer,5.0
LP001027,IP43012,2500,1840,Urban,Y,Low_Class_Customer,5.0
LP001028,IP43013,3073,8106,Urban,Y,Low_Class_Customer,5.0
LP001029,IP43014,1853,2840,Rural,N,Low_Class_Customer,3.0
LP001030,IP43015,1299,1086,Urban,Y,Low_Class_Customer,5.0
LP001032,IP43016,4950,0,Urban,Y,Low_Class_Customer,5.0
LP001034,IP43017,3596,0,Urban,Y,Low_Class_Customer,5.0
LP001036,IP43018,3510,0,Urban,N,Low_Class_Customer,5.0
LP001038,IP43019,4887,0,Rural,N,Low_Class_Customer,3.0
LP001041,IP43020,2600,3500,Urban,Y,Low_Class_Customer,5.0
LP001043,IP43021,7660,0,Urban,N,Middle_Class_Customer,7.0
LP001046,IP43022,5955,5625,Urban,Y,Middle_Class_Customer,7.0
LP001047,IP43023,2600,1911,Semiurban,N,Low_Class_Customer,2.5
LP001050,IP43024,3365,1917,Rural,N,Low_Class_Customer,3.0
LP001052,IP43025,3717,2925,Semiurban,N,Low_Class_Customer,2.5
LP001066,IP43026,9560,0,Semiurban,Y,B_Grade_Customer,7.0
LP001068,IP43027,2799,2253,Semiurban,Y,Low_Class_Customer,2.5
LP001073,IP43028,4226,1040,Urban,Y,Low_Class_Customer,5.0
LP001086,IP43029,1442,0,Urban,N,Low_Class_Customer,5.0
LP001087,IP43030,3750,2083,Semiurban,Y,Low_Class_Customer,2.5
LP001091,IP43031,4166,3369,Urban,N,Low_Class_Customer,5.0
LP001095,IP43032,3167,0,Urban,N,Low_Class_Customer,5.0
LP001097,IP43033,4692,0,Rural,N,Low_Class_Customer,3.0
LP001098,IP43034,3500,1667,Semiurban,Y,Low_Class_Customer,2.5
LP001100,IP43035,12500,3000,Rural,N,B_Grade_Customer,7.0
LP001106,IP43036,2275,2067,Urban,Y,Low_Class_Customer,5.0
LP001109,IP43037,1828,1330,Urban,N,Low_Class_Customer,5.0
LP001112,IP43038,3667,1459,Semiurban,Y,Low_Class_Customer,2.5
LP001114,IP43039,4166,7210,Urban,Y,Low_Class_Customer,5.0
LP001116,IP43040,3748,1668,Semiurban,Y,Low_Class_Customer,2.5
LP001119,IP43041,3600,0,Urban,N,Low_Class_Customer,5.0
LP001120,IP43042,1800,1213,Urban,Y,Low_Class_Customer,5.0
LP001123,IP43043,2400,0,Urban,Y,Low_Class_Customer,5.0
LP001131,IP43044,3941,2336,Semiurban,Y,Low_Class_Customer,2.5
LP001136,IP43045,4695,0,Urban,Y,Low_Class_Customer,5.0
LP001137,IP43046,3410,0,Urban,Y,Low_Class_Customer,5.0
LP001138,IP43047,5649,0,Urban,Y,Middle_Class_Customer,7.0
LP001144,IP43048,5821,0,Urban,Y,Middle_Class_Customer,7.0
LP001146,IP43049,2645,3440,Urban,N,Low_Class_Customer,5.0
LP001151,IP43050,4000,2275,Semiurban,Y,Low_Class_Customer,2.5
LP001155,IP43051,1928,1644,Semiurban,Y,Low_Class_Customer,2.5
LP001157,IP43052,3086,0,Semiurban,Y,Low_Class_Customer,2.5
LP001164,IP43053,4230,0,Semiurban,N,Low_Class_Customer,2.5
LP001179,IP43054,4616,0,Urban,N,Low_Class_Customer,5.0
LP001186,IP43055,11500,0,Urban,N,B_Grade_Customer,7.0
LP001194,IP43056,2708,1167,Semiurban,Y,Low_Class_Customer,2.5
LP001195,IP43057,2132,1591,Semiurban,Y,Low_Class_Customer,2.5
LP001197,IP43058,3366,2200,Rural,N,Low_Class_Customer,3.0
LP001198,IP43059,8080,2250,Urban,Y,Middle_Class_Customer,7.0
LP001199,IP43060,3357,2859,Urban,Y,Low_Class_Customer,5.0
